Section,Field / Where,Georgian (current),English (meaning),Correction
1. Doctors,Singular label,ექიმი,Doctor,
1. Doctors,Plural label,ექიმები,Doctors,
1. Doctors,Group,კონტენტი,Content,
1. Doctors,Collection description,"ექიმების პროფილების მართვა. ფოტო, ბიოგრაფია, სპეციალიზაცია.","Manage doctor profiles. Photo, biography, specialization.",
1. Doctors,slug description,URL მისამართი (მაგ: vasil-khozrevanidze),URL address (e.g. vasil-khozrevanidze),
1. Doctors,doctraId description,Doctra API ექიმის ID — დაკავშირებულია ჩაწერის სისტემასთან,Doctra API doctor ID — linked to the booking system,
1. Doctors,doctraBranchId description,Doctra განყოფილების ID — პროფილზე ხელმისაწვდომი დროების საჩვენებლად,Doctra branch ID — to show available time slots on profile,
1. Doctors,inactive description,მონიშვნისას ექიმი დამალულია საიტზე და ჩაწერის ფორმაში (ჩანაწერი არ წაიშლება),"When checked, doctor is hidden from site and booking form (record is not deleted)",
1. Doctors,lastUpdated label,Last Updated,Last Updated (English already),
1. Doctors,lastUpdated description,ექიმის ინფორმაციის ბოლო განახლების თარიღი — გამოჩნდება პროფილის გვერდზე,Date of last doctor-info update — shown on profile page,
1. Doctors,Tab 1 label,იდენტობა,Identity,
1. Doctors,Tab 1 description,სახელი და ფოტო — პირველი რაც პაციენტი ხედავს,Name and photo — first thing the patient sees,
1. Doctors,Tab 2 label,პროფილი,Profile,
1. Doctors,Tab 2 description,"სპეციალიზაცია, ბიოგრაფია, კვალიფიკაცია","Specialization, biography, qualifications",
1. Doctors,phone description,ექიმის ტელეფონი (Doctra-დან). რედაქცია სავალდებულო არ არის — საიტზე ჩვენების გადაწყვეტილება ცალკეა.,Doctor's phone (from Doctra). Editing not required — site-display decision is separate.,
1. Doctors,email description,ექიმის ელფოსტა (Doctra-დან). იხილე phone-ის შენიშვნა.,Doctor's email (from Doctra). See phone note.,
1. Doctors,biography description,ექიმის ბიოგრაფია და გამოცდილება,Doctor's biography and experience,
1. Doctors,qualifications description,აკადემიური ხარისხები და სერტიფიკატები,Academic degrees and certificates,
1. Doctors,specializations description,სამედიცინო სპეციალიზაციები,Medical specializations,
1. Doctors,experienceYears description,სამუშაო გამოცდილება წლებში,Work experience in years,
1. Doctors,isDepartmentHead label,განყოფილების ხელმძღვანელი,Department head,
1. Doctors,Tab 3 label,SEO,SEO (English already),
1. Doctors,Tab 3 description,საძიებო სისტემებისთვის (Google) — სურვილისამებრ,For search engines (Google) — optional,
1. Doctors,Language option 1,ქართული 🇬🇪 / Georgian,Georgian,
1. Doctors,Language option 2,English 🇬🇧,English,
1. Doctors,Language option 3,Русский 🇷🇺 / Russian,Russian,
1. Doctors,Language option 4,Türkçe 🇹🇷 / Turkish,Turkish,
1. Doctors,Language option 5,Deutsch 🇩🇪 / German,German,
1. Doctors,Language option 6,Français 🇫🇷 / French,French,
1. Doctors,Language option 7,Español 🇪🇸 / Spanish,Spanish,
1. Doctors,Language option 8,Italiano 🇮🇹 / Italian,Italian,
1. Doctors,Language option 9,עברית 🇮🇱 / Hebrew,Hebrew,
1. Doctors,Language option 10,العربية 🇸🇦 / Arabic,Arabic,
1. Doctors,Language option 11,Azərbaycanca 🇦🇿 / Azerbaijani,Azerbaijani,
1. Doctors,Language option 12,Հայերեն 🇦🇲 / Armenian,Armenian,
1. Doctors,Language option 13,Українська 🇺🇦 / Ukrainian,Ukrainian,
1. Doctors,Language option 14,فارسی 🇮🇷 / Persian,Persian,
1. Doctors,Language option 15,中文 🇨🇳 / Chinese,Chinese,
2. Services,Singular label,სერვისი,Service,
2. Services,Plural label,სერვისები,Services,
2. Services,Group,კონტენტი,Content,
2. Services,Collection description,კლინიკის სერვისების და განყოფილებების მართვა.,Manage clinic services and departments.,
2. Services,slug description,URL მისამართი (მაგ: cardiology),URL address (e.g. cardiology),
2. Services,doctraBranchId description,Doctra განყოფილების ID — ჩაწერისთვის (UUID ფორმატი),Doctra branch ID — for booking (UUID format),
2. Services,category description,ჩაწერის გვერდზე კატეგორიის ფილტრი,Category filter on booking page,
2. Services,description (field) description,სრული აღწერა სერვისის გვერდისთვის,Full description for the service page,
2. Services,shortDescription description,მოკლე აღწერა - გამოჩნდება ბარათზე,Short description — appears on the card,
3. CheckupPackages,Singular label,ჩექაფ პაკეტი,Checkup package,
3. CheckupPackages,Plural label,ჩექაფ პაკეტები,Checkup packages,
3. CheckupPackages,Group,კონტენტი,Content,
3. CheckupPackages,Collection description,"ჩექაფ პაკეტების მართვა: ფასი, ხანგრძლივობა, ჩართული სერვისები.","Manage checkup packages: price, duration, included services.",
3. CheckupPackages,includedServices description,ჩექაფ-პაკეტში ჩართული სერვისები — სიიდან აირჩიე ნაცვლად ხელით ჩაწერისა,Services included in the checkup package — pick from list instead of typing,
3. CheckupPackages,service description,ნაცვლად სამივე ენაზე ცალკე ხელით ჩაწერისა — სერვისს ვირჩევთ Services კოლექციიდან და ავტომატურად მოვა მისი სახელი მიმდინარე ენაზე.,Instead of typing in three languages — pick the service from the Services collection and its name comes through in the current language automatically.,
4. Reviews,Singular label,შეფასება,Review,
4. Reviews,Plural label,შეფასებები,Reviews,
4. Reviews,Group,კონტენტი,Content,
4. Reviews,Collection description,"პაციენტების შეფასებების მართვა. 'გამოქვეყნებული' ჩექბოქსი აკონტროლებს რა გამოჩნდეს საიტზე. Google-დან სინქრონიზაცია Dashboard-ის ""Google შეფასებები"" ღილაკით.","Manage patient reviews. The 'published' checkbox controls what shows on the site. Sync from Google via Dashboard ""Google reviews"" button.",
4. Reviews,published description,მონიშნულია — ჩანს საიტზე. გაუქმებულია — დამალულია.,Checked — shows on site. Unchecked — hidden.,
4. Reviews,googleReviewId description,"Google-დან სინქის ID. ცარიელია ""internal"" შეფასებებზე.","Google sync ID. Empty for ""internal"" reviews.",
4. Reviews,authorPhotoUrl description,მომხმარებლის ფოტოს URL Google-დან (ავტომატური).,User-photo URL from Google (automatic).,
5. News,Singular label,სიახლე,News article,
5. News,Plural label,სიახლეები,News,
5. News,Group,კონტენტი,Content,
5. News,Collection description,სიახლეების და სტატიების მართვა. აქ შეგიძლიათ შექმნათ ბლოგ პოსტები.,Manage news and articles. You can create blog posts here.,
5. News,title description,სტატიის სათაური,Article title,
5. News,slug description,URL მისამართი (მაგ: my-article),URL address (e.g. my-article),
5. News,excerpt description,მოკლე აღწერა - გამოჩნდება ბარათზე,Short description — appears on the card,
5. News,content description,"დაამატეთ ბლოკები: ტექსტი, სურათი, ციტატა და სხვა","Add blocks: text, image, quote, etc.",
5. News,showOnHomepage description,Show this article on the home page (currently in English),Show this article on the home page,
5. News,homepageOrder description,Order on home page (lower = first) (currently in English),Order on home page (lower = first),
6. Pages,Singular label,გვერდი,Page,
6. Pages,Plural label,გვერდები,Pages,
6. Pages,Group,კონტენტი,Content,
6. Pages,Collection description,საიტის გვერდების შექმნა და მართვა. გამოიყენეთ ბლოკები გვერდის ასაწყობად.,Create and manage site pages. Use blocks to build the page.,
6. Pages,title description,გვერდის სათაური. გამოჩნდება ბრაუზერის ჩანართზე + breadcrumb-ში.,Page title. Shown in the browser tab and in the breadcrumb.,
6. Pages,slug description,"URL მისამართი (მხოლოდ ლათინური ასოები, ციფრები, ""-""; მაგ: about-us). გვერდი იხსნება /pages/<slug>-ზე. უნდა იყოს უნიკალური.","URL address (only Latin letters, digits, ""-""; e.g. about-us). Page opens at /pages/<slug>. Must be unique.",
6. Pages,status option 1,მონახაზი (საიტზე არ ჩანს),Draft (not visible on site),
6. Pages,status option 2,გამოქვეყნებული (ხილვადია საიტზე),Published (visible on site),
6. Pages,status description,"ახალი გვერდი იწყება ""მონახაზად"". შევსების შემდეგ ცვალე ""გამოქვეყნებულზე"" — საიტზე გამოჩნდება მხოლოდ მაშინ.","A new page starts as ""draft"". After filling it in, change to ""published"" — only then will it appear on the site.",
6. Pages,layout description,"გვერდის ბლოკები: ჰერო, ტექსტი, FAQ, გალერეა და სხვა. გადაათრიეთ თანმიმდევრობის შესაცვლელად. ⚠️ ბლოკის სტრუქტურა ლოკალური ენაზე — ენის ცვლისას ცარიელად დაიწყება და უნდა აიწყოს ხელახლა.","Page blocks: hero, text, FAQ, gallery, etc. Drag to reorder. ⚠️ Block structure is per-language — switching language starts empty and must be rebuilt.",
7. Media,Singular label,მედია,Media,
7. Media,Plural label,მედია,Media,
8. Users,Singular label,მომხმარებელი,User,
8. Users,Plural label,მომხმარებლები,Users,
8. Users,Group,ადმინი,Admin,
8. Users,role option 1,Admin,Admin (English already),
8. Users,role option 2,Editor,Editor (English already),
9. HomePage (global),Label,მთავარი გვერდი,Home page,
9. HomePage (global),Group,გვერდები,Pages,
9. HomePage (global),Global description,"მთავარი გვერდის კონტენტის მართვა: ჰერო სექცია, გალერეა, CTA ტექსტები.","Manage home page content: hero section, gallery, CTA texts.",
9. HomePage (global),hero group label,ჰერო სექცია,Hero section,
9. HomePage (global),hero.headline description,მთავარი სათაური,Main title,
9. HomePage (global),hero.subheadline description,ქვესათაური,Subtitle,
9. HomePage (global),hero.bookButtonText description,ჯავშნის ღილაკის ტექსტი,Booking button text,
9. HomePage (global),hero.consultButtonText description,კონსულტაციის ღილაკის ტექსტი,Consultation button text,
9. HomePage (global),hero.badgeText description,პატარა ტექსტი ზემოთ (მაგ: 2015 წლიდან მოქმედი),Small text above (e.g. Operating since 2015),
9. HomePage (global),heroSlides label,გალერეის სლაიდები,Gallery slides,
9. HomePage (global),heroSlides description,ჰერო სექციის სურათები (5 რეკომენდებული),Hero-section images (5 recommended),
9. HomePage (global),heroSlides.label description,სლაიდის ტექსტი,Slide text,
9. HomePage (global),trustStrip label,სანდოობის ზოლი,Trust strip,
9. HomePage (global),trustStrip description,ჰერო სექციის ქვედა ნაწილი,Bottom part of hero section,
9. HomePage (global),trustStrip.doctorCount description,მაგ: 54 ექიმი,e.g. 54 doctors,
9. HomePage (global),trustStrip.patientCount description,"მაგ: 15,000+ პაციენტი","e.g. 15,000+ patients",
9. HomePage (global),symptomNavigator label,სიმპტომების ნავიგატორი,Symptom navigator,
9. HomePage (global),symptomNavigator.placeholder description,საძიებო ველის placeholder,Search-field placeholder,
10. AboutPage (global),Label,ჩვენ შესახებ,About us,
10. AboutPage (global),Group,გვერდები,Pages,
10. AboutPage (global),Global description,"""ჩვენ შესახებ"" გვერდის კონტენტის მართვა.","Manage ""About us"" page content.",
10. AboutPage (global),description (field) description,მთავარი აღწერა,Main description,
10. AboutPage (global),highlights label,მთავარი მახასიათებლები,Main highlights,
10. AboutPage (global),highlights description,"მაგ: ხარისხი, პროფესიონალიზმი, დაარსდა 2015...","e.g. Quality, professionalism, founded 2015...",
10. AboutPage (global),highlights.icon description,ემოჯი ან ხატულა (მაგ: ✓),Emoji or icon (e.g. ✓),
10. AboutPage (global),stats label,სტატისტიკა,Statistics,
10. AboutPage (global),stats description,"მაგ: დაარსდა 2015, 40 საწოლი...","e.g. Founded 2015, 40 beds...",
11. ContactPage (global),Label,საკონტაქტო გვერდი,Contact page,
11. ContactPage (global),Group,გვერდები,Pages,
